时间,油压,排  量,总 液 量,砂 浓 度,总 砂 量,滑溜水1低粘,滑溜水1低粘总量,滑溜水4高粘,滑溜水4高粘总量
HH:mm:ss,MPa,m3/min,m3,kg/m3,m3,L/min,L,L/min,L
8:51:43,0.45,0,0,0,0,0,0,0,0
8:51:44,0.45,0,0,0,0,0,0,0,0
8:51:45,0.45,0,0,0,0,0,0,0,0
8:51:46,0.45,0,0,0,0,0,0,0,0
8:51:47,0.45,0,0,0,0,0,0,0,0
8:51:48,0.45,0,0,0,0,0,0,0,0
8:51:49,0.45,0,0,0,0,0,0,0,0
8:51:50,0.45,0,0,0,0,0,0,0,0
8:51:51,0.45,0,0,0,0,0,0,0,0
8:51:52,0.45,0,0,0,0,0,0,0,0
8:51:53,0.45,0,0,0,0,0,0,0,0
8:51:54,0.45,0,0,0,0,0,0,0,0
8:51:55,0.45,0,0,0,0,0,0,0,0
8:51:56,0.46,0,0,0,0,0,0,0,0
8:51:57,0.52,0,0,0,0,0,0,0,0
8:51:58,0.61,0,0,0,0,0,0,0,0
8:51:59,0.76,0.03,0,0,0,0,0,0,0
8:52:00,1.04,0.09,0,0,0,0,0,0,0
8:52:01,1.61,0.13,0,0,0,0,0,0,0
8:52:02,2.79,0.16,0,0,0,0,0,0,0
8:52:03,5.02,0.18,0,0,0,0,0,0,0
8:52:04,7.96,0.19,0,0,0,0,0,0,0
8:52:05,10.48,0.2,0,0,0,0,0,0,0
8:52:06,12.03,0.2,0,0,0,0,0,0,0
8:52:07,13.23,0.2,0,0,0,0,0,0,0
8:52:08,14.11,0.2,0,0,0,0,0,0,0
8:52:09,14.92,0.19,0,0,0,0,0,0,0
8:52:10,17.71,0.19,0,0,0,0,0,0,0
8:52:11,21.1,0.18,0,0,0,0,0,0,0
8:52:12,24.25,0.16,0,0,0,0,0,0,0
8:52:13,26.76,0.13,0,0,0,0,0,0,0
8:52:14,28.58,0.07,0,0,0,0,0,0,0
8:52:15,29.54,0.04,0,0,0,0,0,0,0
8:52:16,29.98,0.02,0,0,0,0,0,0,0
8:52:17,30.21,0.01,0,0,0,0,0,0,0
8:52:18,31.12,0,0,0,0,0,0,0,0
8:52:19,33.12,0,0,0,0,0,0,0,0
8:52:20,35.41,0,0,0,0,0,0,0,0
8:52:21,36.92,0,0,0,0,0,0,0,0
8:52:22,37.67,0,0,0,0,0,0,0,0
8:52:23,38.04,0,0,0,0,0,0,0,0
8:52:24,38.2,0,0,0,0,0,0,0,0
8:52:25,38.28,0,0,0,0,0,0,0,0
8:52:26,38.32,0,0,0,0,0,0,0,0
8:52:27,38.34,0,0,0,0,0,0,0,0
8:52:28,38.34,0,0,0,0,0,0,0,0
8:52:29,38.34,0,0,0,0,0,0,0,0
8:52:30,38.33,0,0,0,0,0,0,0,0
8:52:31,38.33,0,0,0,0,0,0,0,0
8:52:32,38.33,0,0,0,0,0,0,0,0
8:52:33,38.33,0,0,0,0,0,0,0,0
8:52:34,38.33,0,0,0,0,0,0,0,0
8:52:35,38.32,0,0,0,0,0,0,0,0
8:52:36,38.32,0,0,0,0,0,0,0,0
