时间,施工压力,施工排量,阶段液量,总液量,砂浓度,阶段砂量,砂总量,混砂1液添3
HH:mm:ss,MPa,m3/min,m3,m3,kg/m3,t,t,L/min
15:37:43,44.9,0,0,0,0,0,0,0
15:37:44,44.9,0,0,0,0,0,0,0
15:37:45,44.9,0,0,0,0,0,0,0
15:37:46,44.9,0,0,0,0,0,0,0
15:37:47,44.9,0,0,0,0,0,0,0
15:37:48,44.9,0,0,0,0,0,0,0
15:37:49,44.9,0,0,0,0,0,0,0
15:37:50,44.9,0,0,0,0,0,0,0
15:37:51,44.9,0,0,0,0,0,0,0
15:37:52,44.9,0,0,0,0,0,0,0
15:37:53,44.9,0,0,0,0,0,0,0
15:37:54,44.9,0,0,0,0,0,0,0
15:37:55,44.9,0,0,0,0,0,0,0
15:37:56,44.9,0,0,0,0,0,0,0
15:37:57,44.9,0,0,0,0,0,0,0
15:37:58,44.9,0,0,0,0,0,0,0
15:37:59,44.9,0,0,0,0,0,0,0
15:38:00,44.8,0,0,0,0,0,0,0
15:38:01,44.8,0,0,0,0,0,0,0
15:38:02,44.8,0,0,0,0,0,0,0
15:38:03,44.8,0,0,0,0,0,0,0
15:38:04,44.9,0,0,0,0,0,0,0
15:38:05,44.9,0,0,0,0,0,0,0
15:38:06,44.9,0,0,0,0,0,0,0
15:38:07,44.8,0,0,0,0,0,0,0
15:38:08,44.8,0,0,0,0,0,0,0
15:38:09,44.8,0,0,0,0,0,0,0
15:38:10,44.8,0,0,0,0,0,0,0
15:38:11,44.8,0,0,0,0,0,0,0
15:38:12,44.8,0,0,0,0,0,0,0
15:38:13,44.8,0,0,0,0,0,0,0
15:38:14,44.8,0,0,0,0,0,0,0
15:38:15,44.8,0,0,0,0,0,0,0
15:38:16,44.8,0,0,0,0,0,0,0
15:38:17,44.8,0,0,0,0,0,0,0
15:38:18,44.8,0,0,0,0,0,0,0
15:38:19,44.8,0,0,0,0,0,0,0
15:38:20,44.8,0,0,0,0,0,0,0
15:38:21,44.8,0,0,0,0,0,0,0
15:38:22,44.8,0,0,0,0,0,0,0
15:38:23,44.8,0,0,0,0,0,0,0
15:38:24,44.8,0,0,0,0,0,0,0
15:38:25,44.8,0,0,0,0,0,0,0
15:38:26,44.8,0,0,0,0,0,0,0
15:38:27,44.8,0,0,0,0,0,0,0
15:38:28,44.8,0,0,0,0,0,0,0
15:38:29,44.8,0,0,0,0,0,0,0
15:38:30,44.8,0,0,0,0,0,0,0
15:38:31,44.8,0,0,0,0,0,0,0
15:38:32,44.8,0,0,0,0,0,0,0
15:38:33,44.8,0,0,0,0,0,0,0
15:38:34,44.8,0,0,0,0,0,0,0
15:38:35,44.8,0,0,0,0,0,0,0
15:38:36,44.8,0,0,0,0,0,0,0
15:38:37,44.8,0,0,0,0,0,0,0
15:38:38,44.8,0,0,0,0,0,0,0
15:38:39,44.8,0,0,0,0,0,0,0
15:38:40,44.8,0,0,0,0,0,0,0
15:38:41,44.8,0,0,0,0,0,0,0
15:38:42,44.8,0,0,0,0,0,0,0
15:38:43,44.8,0,0,0,0,0,0,0
15:38:44,44.8,0,0,0,0,0,0,0
15:38:45,44.8,0,0,0,0,0,0,0
15:38:46,44.8,0,0,0,0,0,0,0
15:38:47,44.8,0,0,0,0,0,0,0
15:38:48,44.8,0,0,0,0,0,0,0
15:38:49,44.8,0,0,0,0,0,0,0
15:38:50,44.8,0,0,0,0,0,0,0
15:38:51,44.8,0.1,0,0,0,0,0,0
15:38:52,44.8,0.1,0,0,0,0,0,0
15:38:53,44.8,0.2,0,0,0,0,0,0
15:38:54,44.8,0.2,0,0,0,0,0,0
15:38:55,44.8,0.1,0,0,0,0,0,0
15:38:56,44.8,0.1,0,0,0,0,0,0
15:38:57,44.8,0.1,0,0,0,0,0,0
15:38:58,44.8,0.1,0,0,0,0,0,0
15:38:59,44.8,0.1,0,0,0,0,0,0
15:39:00,44.8,0.1,0,0,0,0,0,0
15:39:01,44.8,0.1,0,0,0,0,0,0
15:39:02,44.8,0,0,0,0,0,0,0
15:39:03,44.8,0,0,0,0,0,0,0
15:39:04,44.8,0,0,0,0,0,0,0
15:39:05,44.8,0,0,0,0,0,0,0
15:39:06,44.8,0,0,0,0,0,0,0
15:39:07,44.8,0,0,0,0,0,0,0
15:39:08,44.8,0,0,0,0,0,0,0
15:39:09,44.8,0,0,0,0,0,0,0
15:39:10,44.8,0,0,0,0,0,0,0
15:39:11,44.8,0,0,0,0,0,0,0
15:39:12,44.8,0,0,0,0,0,0,0
15:39:13,44.8,0,0,0,0,0,0,0
15:39:14,44.8,0,0,0,0,0,0,0
15:39:15,44.8,0,0,0,0,0,0,0
15:39:16,44.8,0,0,0,0,0,0,0
15:39:17,44.8,0,0,0,0,0,0,0
15:39:18,44.8,0,0,0,0,0,0,0
15:39:19,44.8,0,0,0,0,0,0,0
15:39:20,44.8,0,0,0,0,0,0,0
15:39:21,44.8,0,0,0,0,0,0,0
15:39:22,44.8,0,0,0,0,0,0,0
15:39:23,44.8,0,0,0,0,0,0,0
15:39:24,44.8,0,0,0,0,0,0,0
15:39:25,44.8,0,0,0,0,0,0,0
15:39:26,44.8,0,0,0,0,0,0,0
15:39:27,44.8,0,0,0,0,0,0,0
15:39:28,44.8,0,0,0,0,0,0,0
15:39:29,44.8,0,0,0,0,0,0,0
15:39:30,44.8,0,0,0,0,0,0,0
15:39:31,44.8,0,0,0,0,0,0,0
15:39:32,44.8,0,0,0,0,0,0,0
15:39:33,44.8,0,0,0,0,0,0,0
15:39:34,44.8,0,0,0,0,0,0,0
15:39:35,44.8,0,0,0,0,0,0,0
15:39:36,44.8,0,0,0,0,0,0,0
15:39:37,44.8,0,0,0,0,0,0,0
15:39:38,44.8,0,0,0,0,0,0,0
15:39:39,44.8,0,0,0,0,0,0,0
15:39:40,44.8,0,0,0,0,0,0,0
15:39:41,44.8,0,0,0,0,0,0,0
15:39:42,44.8,0,0,0,0,0,0,0
15:39:43,44.8,0,0,0,0,0,0,0
15:39:44,44.8,0,0,0,0,0,0,0
