时间,油压,排  量,总 液 量,砂 浓 度,总 砂 量,滑溜水1低粘,滑溜水1低粘总量,滑溜水4高粘,滑溜水4高粘总量
HH:mm:ss,MPa,m3/min,m3,kg/m3,m3,L/min,L,L/min,L
14:40:07,0.51,0,0,0,0,0,0,0,0
14:40:08,0.51,0,0,0,0,0,0,0,0
14:40:09,0.51,0,0,0,0,0,0,0,0
14:40:10,0.51,0,0,0,0,0,0,0,0
14:40:11,0.51,0,0,0,0,0,0,0,0
14:40:12,0.51,0,0,0,0,0,0,0,0
14:40:13,0.51,0,0,0,0,0,0,0,0
14:40:14,0.51,0,0,0,0,0,0,0,0
14:40:15,0.51,0,0,0,0,0,0,0,0
14:40:16,0.51,0,0,0,0,0,0,0,0
14:40:17,0.51,0,0,0,0,0,0,0,0
14:40:18,0.51,0,0,0,0,0,0,0,0
14:40:19,0.51,0,0,0,0,0,0,0,0
14:40:20,0.51,0,0,0,0,0,0,0,0
14:40:21,0.51,0,0,0,0,0,0,0,0
14:40:22,0.56,0,0,0,0,0,0,0,0
14:40:23,0.68,0,0,0,0,0,0,0,0
14:40:24,1.05,0,0,0,0,0,0,0,0
14:40:25,2.13,0,0,0,0,0,0,0,0
14:40:26,3.67,0.02,0,0,0,0,0,0,0
14:40:27,4.98,0.06,0,0,0,0,0,0,0
14:40:28,5.89,0.1,0,0,0,0,0,0,0
14:40:29,6.52,0.12,0,0,0,0,0,0,0
14:40:30,8.21,0.14,0,0,0,0,0,0,0
14:40:31,11.27,0.15,0,0,0,0,0,0,0
14:40:32,15.17,0.15,0,0,0,0,0,0,0
14:40:33,19.34,0.15,0,0,0,0,0,0,0
14:40:34,23.37,0.15,0,0,0,0,0,0,0
14:40:35,26.95,0.14,0,0,0,0,0,0,0
14:40:36,29.21,0.08,0,0,0,0,0,0,0
14:40:37,30.34,0.04,0,0,0,0,0,0,0
14:40:38,30.91,0.02,0,0,0,0,0,0,0
14:40:39,31.18,0.01,0,0,0,0,0,0,0
14:40:40,31.31,0.01,0,0,0,0,0,0,0
14:40:41,31.36,0,0,0,0,0,0,0,0
14:40:42,31.38,0,0,0,0,0,0,0,0
14:40:43,31.38,0,0,0,0,0,0,0,0
14:40:44,31.35,0,0,0,0,0,0,0,0
14:40:45,31.33,0,0,0,0,0,0,0,0
14:40:46,31.31,0,0,0,0,0,0,0,0
14:40:47,31.29,0,0,0,0,0,0,0,0
14:40:48,31.28,0,0,0,0,0,0,0,0
14:40:49,31.26,0,0,0,0,0,0,0,0
14:40:50,31.24,0,0,0,0,0,0,0,0
14:40:51,31.21,0,0,0,0,0,0,0,0
14:40:52,31.19,0,0,0,0,0,0,0,0
14:40:54,31.17,0,0,0,0,0,0,0,0
14:40:54,31.16,0,0,0,0,0,0,0,0
14:40:55,31.15,0,0,0,0,0,0,0,0
14:40:56,31.13,0,0,0,0,0,0,0,0
14:40:57,31.12,0,0,0,0,0,0,0,0
14:40:58,31.12,0,0,0,0,0,0,0,0
14:40:59,31.11,0,0,0,0,0,0,0,0
