时间,施工压力,排  量,总 液 量,砂 浓 度,总 砂 量,液添1,液添1总量
HH:mm:ss,MPa,m3/min,m3,kg/m3,m3,L/min,L
17:47:46,25.53,0.36,0,0,0,0,0
17:47:47,25.53,0.37,0,0,0,0,0
17:47:48,25.62,0.37,0,0,0,0,0
17:47:49,25.57,0.37,0,0,0,0,0
17:47:50,25.7,0.37,0,0,0,0,0
17:47:51,26.06,0.38,0,0,0,0,0
17:47:52,26.48,0.4,0,0,0,0,0
17:47:53,26.92,0.44,0.1,0,0,0,0
17:47:54,27.27,0.49,0.1,0,0,0,0
17:47:55,27.47,0.55,0.1,0,0,0,0
17:47:56,27.41,0.6,0.1,0,0,0,0
17:47:57,27.38,0.66,0.1,0,0,0,0
17:47:58,27.46,0.72,0.1,0,0,0,0
17:47:59,27.56,0.77,0.1,0,0,0,0
17:48:00,27.76,0.84,0.1,0,0,0,0
17:48:01,27.93,0.9,0.1,0,0,0,0
17:48:02,28.08,0.96,0.2,0,0,0,0
17:48:03,28.21,1.01,0.2,0,0,0,0
17:48:04,28.34,1.06,0.2,0,0,0,0
17:48:05,28.44,1.1,0.2,0,0,0,0
17:48:06,28.52,1.14,0.2,0,0,0,0
17:48:07,28.63,1.17,0.3,0,0,0,0
17:48:08,28.71,1.19,0.3,0,0,0,0
17:48:09,28.82,1.21,0.3,0,0,0,0
17:48:10,29.24,1.23,0.3,0,0,0,0
17:48:11,29.69,1.25,0.3,0,0,0,0
17:48:12,30.08,1.29,0.4,0,0,0,0
17:48:13,30.4,1.33,0.4,0,0,0,0
17:48:14,30.79,1.38,0.4,0,0,0,0
17:48:15,31.12,1.45,0.4,0,0,0,0
17:48:16,31.45,1.53,0.4,0,0,0,0
17:48:17,31.79,1.62,0.5,0,0,0,0
17:48:18,32.1,1.72,0.5,0,0,0,0
17:48:19,32.37,1.82,0.5,0,0,0,0
17:48:20,32.68,1.91,0.6,0,0,0,0
17:48:21,32.96,2,0.6,0,0,0,0
17:48:22,33.22,2.1,0.6,0,0,0,0
17:48:23,33.47,2.21,0.7,0,0,0,0
17:48:24,33.72,2.32,0.7,0,0,0,0
17:48:25,33.94,2.42,0.8,0,0,0,0
17:48:26,34.16,2.46,0.8,0,0,0,0
17:48:27,34.37,2.47,0.8,0,0,0,0
17:48:28,34.58,2.46,0.9,0,0,0,0
17:48:29,34.75,2.43,0.9,0,0,0,0
17:48:30,34.97,2.42,1,0,0,0,0
17:48:31,35.14,2.41,1,0,0,0,0
17:48:32,35.31,2.42,1,0,0,0,0
17:48:33,35.5,2.43,1.1,0,0,0,0
17:48:34,35.67,2.42,1.1,0,0,0,0
17:48:35,35.9,2.41,1.2,0,0,0,0
17:48:36,36.31,2.41,1.2,0,0,0,0
17:48:37,36.82,2.42,1.2,0,0,0,0
17:48:38,37.25,2.43,1.3,0,0,0,0
17:48:39,37.67,2.43,1.3,0,0,0,0
17:48:40,38.14,2.44,1.4,0,0,0,0
17:48:41,38.72,2.47,1.4,0,0,0,0
17:48:42,39.28,2.52,1.4,0,0,0,0
17:48:43,39.72,2.61,1.5,0,0,0,0
17:48:44,40.07,2.74,1.5,0,0,0,0
17:48:45,40.39,2.89,1.6,0,0,0,0
17:48:46,40.74,3.03,1.6,0,0,0,0
17:48:47,41.1,3.16,1.7,0,0,0,0
17:48:48,41.39,3.24,1.7,0,0,0,0
17:48:49,41.61,3.29,1.8,0,0,0,0
17:48:50,41.8,3.32,1.8,0,0,0,0
17:48:51,42,3.34,1.9,0,0,0,0
17:48:52,42.21,3.35,2,0,0,0,0
17:48:53,42.45,3.38,2,0,0,0,0
17:48:54,42.58,3.43,2.1,0,0,0,0
17:48:55,42.77,3.49,2.1,0,0,0,0
17:48:56,42.87,3.56,2.2,0,0,0,0
17:48:57,43.04,3.61,2.2,0,0,0,0
17:48:58,43.18,3.63,2.3,0,0,0,0
17:48:59,43.28,3.62,2.4,0,0,0,0
17:49:00,43.36,3.58,2.4,0,0,0,0
17:49:01,43.43,3.52,2.5,0,0,0,0
17:49:02,43.54,3.46,2.5,0,0,0,0
17:49:03,43.64,3.41,2.6,0,0,0,0
17:49:04,43.74,3.37,2.7,0,0,0,0
17:49:05,43.78,3.37,2.7,0,0,0,0
17:49:06,43.85,3.39,2.8,0,0,0,0
17:49:07,43.92,3.44,2.8,0,0,0,0
17:49:08,44.03,3.5,2.9,0,0,0,0
17:49:09,44.1,3.57,2.9,0,0,0,0
17:49:10,44.15,3.64,3,0,0,0,0
17:49:11,44.15,3.69,3.1,0,0,0,0
17:49:12,44.15,3.72,3.1,0,0,0,0
17:49:13,44.21,3.74,3.2,0,0,0,0
17:49:14,44.29,3.73,3.3,0,0,0,0
17:49:15,44.3,3.71,3.3,0,0,0,0
17:49:16,44.31,3.67,3.4,0,0,0,0
17:49:17,44.31,3.64,3.4,0,0,0,0
17:49:18,44.32,3.58,3.5,0,0,0,0
17:49:19,44.37,3.53,3.6,0,0,0,0
17:49:20,44.41,3.5,3.6,0,0,0,0
17:49:21,44.41,3.47,3.7,0,0,0,0
17:49:22,44.4,3.44,3.7,0,0,0,0
17:49:23,44.35,3.45,3.8,0,0,0,0
17:49:24,44.36,3.48,3.8,0,0,0,0
17:49:25,44.41,3.52,3.9,0,0,0,0
17:49:26,44.43,3.55,4,0,0,0,0
17:49:27,44.45,3.6,4,0,0,0,0
17:49:28,44.47,3.65,4.1,0,0,0,0
17:49:29,44.47,3.69,4.1,0,0,0,0
17:49:30,44.48,3.67,4.2,0,0,0,0
17:49:31,44.5,3.61,4.3,0,0,0,0
17:49:32,44.49,3.54,4.3,0,0,0,0
17:49:33,44.49,3.5,4.4,0,0,0,0
17:49:34,44.48,3.47,4.4,0,0,0,0
17:49:35,44.48,3.45,4.5,0,0,0,0
17:49:36,44.48,3.43,4.6,0,0,0,0
17:49:37,44.5,3.44,4.6,0,0,0,0
17:49:38,44.49,3.46,4.7,0,0,0,0
17:49:39,44.47,3.5,4.7,0,0,0,0
17:49:40,44.46,3.53,4.8,0,0,0,0
17:49:41,44.46,3.56,4.8,0,0,0,0
17:49:42,44.5,3.61,4.9,0,0,0,0
17:49:43,44.5,3.64,5,0,0,0,0
17:49:44,44.47,3.65,5,0,0,0,0
17:49:45,44.47,3.64,5.1,0,0,0,0
17:49:46,44.47,3.61,5.2,0,0,0,0
17:49:47,44.53,3.56,5.2,0,0,0,0
17:49:48,44.55,3.5,5.3,0,0,0,0
17:49:49,44.52,3.46,5.3,0,0,0,0
17:49:50,44.47,3.44,5.4,0,0,0,0
17:49:51,44.42,3.43,5.4,0,0,0,0
17:49:52,44.44,3.4,5.5,0,0,0,0
17:49:53,44.47,3.39,5.6,0,0,0,0
17:49:54,44.49,3.41,5.6,0,0,0,0
17:49:55,44.49,3.44,5.7,0,0,0,0
17:49:56,44.48,3.49,5.7,0,0,0,0
17:49:57,44.5,3.53,5.8,0,0,0,0
17:49:58,44.52,3.55,5.8,0,0,0,0
17:49:59,44.55,3.57,5.9,0,0,0,0
17:50:00,44.56,3.58,6,0,0,0,0
17:50:01,44.56,3.59,6,0,0,0,0
17:50:02,44.54,3.58,6.1,0,0,0,0
17:50:03,44.51,3.56,6.1,0,0,0,0
17:50:04,44.54,3.53,6.2,0,0,0,0
17:50:05,44.57,3.5,6.3,0,0,0,0
17:50:06,44.55,3.5,6.3,0,0,0,0
17:50:07,44.54,3.5,6.4,0,0,0,0
17:50:08,44.55,3.5,6.4,0,0,0,0
17:50:09,44.58,3.5,6.5,0,0,0,0
17:50:10,44.59,3.5,6.6,0,0,0,0
17:50:11,44.57,3.51,6.6,0,0,0,0
17:50:12,44.57,3.52,6.7,0,0,0,0
17:50:13,44.55,3.53,6.7,0,0,0,0
17:50:14,44.56,3.54,6.8,0,0,0,0
17:50:15,44.59,3.56,6.8,0,0,0,0
17:50:16,44.61,3.58,6.9,0,0,0,0
17:50:17,44.62,3.59,7,0,0,0,0
17:50:18,44.62,3.59,7,0,0,0,0
17:50:19,44.62,3.58,7.1,0,0,0,0
17:50:20,44.64,3.56,7.1,0,0,0,0
17:50:21,44.65,3.54,7.2,0,0,0,0
17:50:22,44.64,3.5,7.3,0,0,0,0
17:50:23,44.63,3.47,7.3,0,0,0,0
17:50:24,44.62,3.47,7.4,0,0,0,0
17:50:25,44.62,3.46,7.4,0,0,0,0
17:50:26,44.62,3.46,7.5,0,0,0,0
17:50:27,44.61,3.46,7.6,0,0,0,0
17:50:28,44.6,3.48,7.6,0,0,0,0
17:50:29,44.62,3.5,7.7,0,0,0,0
17:50:30,44.64,3.5,7.7,0,0,0,0
17:50:31,44.66,3.51,7.8,0,0,0,0
17:50:32,44.69,3.49,7.8,0,0,0,0
17:50:33,44.69,3.47,7.9,0,0,0,0
17:50:34,44.71,3.43,8,0,0,0,0
17:50:35,44.7,3.4,8,0,0,0,0
17:50:36,44.72,3.38,8.1,0,0,0,0
17:50:37,44.75,3.38,8.1,0,0,0,0
17:50:38,44.76,3.39,8.2,0,0,0,0
17:50:39,44.76,3.42,8.2,0,0,0,0
17:50:40,44.76,3.46,8.3,0,0,0,0
17:50:41,44.77,3.51,8.4,0,0,0,0
17:50:42,44.8,3.56,8.4,0,0,0,0
17:50:43,44.83,3.6,8.5,0,0,0,0
17:50:44,44.86,3.63,8.5,0,0,0,0
17:50:45,44.86,3.65,8.6,0,0,0,0
17:50:46,44.87,3.68,8.7,0,0,0,0
17:50:47,44.89,3.7,8.7,0,0,0,0
17:50:48,44.91,3.74,8.8,0,0,0,0
17:50:49,44.93,3.76,8.8,0,0,0,0
17:50:50,44.94,3.76,8.9,0,0,0,0
17:50:51,44.94,3.75,9,0,0,0,0
17:50:52,44.96,3.73,9,0,0,0,0
17:50:53,44.99,3.71,9.1,0,0,0,0
17:50:54,45.01,3.7,9.2,0,0,0,0
17:50:55,45.02,3.69,9.2,0,0,0,0
17:50:56,45.03,3.67,9.3,0,0,0,0
17:50:57,45.04,3.65,9.3,0,0,0,0
17:50:58,45.06,3.64,9.4,0,0,0,0
17:50:59,45.09,3.64,9.5,0,0,0,0
17:51:00,45.13,3.64,9.5,0,0,0,0
17:51:01,45.14,3.64,9.6,0,0,0,0
17:51:02,45.15,3.63,9.6,0,0,0,0
17:51:03,45.19,3.63,9.7,0,0,0,0
17:51:04,45.23,3.61,9.8,0,0,0,0
17:51:05,45.29,3.58,9.8,0,0,0,0
17:51:06,45.36,3.57,9.9,0,0,0,0
17:51:07,45.44,3.57,9.9,0,0,0,0
17:51:08,45.51,3.6,10,0,0,0,0
17:51:09,45.6,3.62,10.1,0,0,0,0
17:51:10,45.67,3.63,10.1,0,0,0,0
17:51:11,45.72,3.64,10.2,0,0,0,0
17:51:12,45.77,3.64,10.2,0,0,0,0
17:51:13,45.81,3.64,10.3,0,0,0,0
17:51:14,45.86,3.64,10.4,0,0,0,0
17:51:15,45.9,3.64,10.4,0,0,0,0
17:51:16,45.93,3.63,10.5,0,0,0,0
17:51:17,45.94,3.62,10.5,0,0,0,0
17:51:18,45.93,3.61,10.6,0,0,0,0
17:51:19,45.92,3.61,10.7,0,0,0,0
17:51:20,45.94,3.61,10.7,0,0,0,0
17:51:21,45.95,3.6,10.8,0,0,0,0
17:51:22,45.96,3.61,10.8,0,0,0,0
17:51:23,45.95,3.62,10.9,0,0,0,0
17:51:24,45.95,3.62,11,0,0,0,0
17:51:25,45.93,3.63,11,0,0,0,0
17:51:26,45.95,3.63,11.1,0,0,0,0
17:51:27,45.98,3.64,11.1,0,0,0,0
17:51:28,46,3.64,11.2,0,0,0,0
17:51:29,46.02,3.64,11.3,0,0,0,0
17:51:30,46.03,3.64,11.3,0,0,0,0
17:51:31,46.06,3.64,11.4,0,0,0,0
17:51:32,46.09,3.63,11.5,0,0,0,0
17:51:33,46.13,3.62,11.5,0,0,0,0
17:51:34,46.13,3.62,11.6,0,0,0,0
17:51:35,46.15,3.62,11.6,0,0,0,0
17:51:36,46.18,3.6,11.7,0,0,0,0
17:51:37,46.21,3.55,11.8,0,0,0,0
17:51:38,46.23,3.51,11.8,0,0,0,0
17:51:39,46.25,3.49,11.9,0,0,0,0
17:51:40,46.24,3.5,11.9,0,0,0,0
17:51:41,46.24,3.53,12,0,0,0,0
17:51:42,46.26,3.56,12,0,0,0,0
17:51:43,46.28,3.6,12.1,0,0,0,0
17:51:44,46.26,3.64,12.2,0,0,0,0
17:51:45,46.25,3.65,12.2,0,0,0,0
17:51:46,46.25,3.66,12.3,0,0,0,0
17:51:47,46.28,3.66,12.3,0,0,0,0
17:51:48,46.3,3.66,12.4,0,0,0,0
17:51:49,46.31,3.65,12.5,0,0,0,0
17:51:50,46.32,3.65,12.5,0,0,0,0
17:51:51,46.33,3.64,12.6,0,0,0,0
17:51:52,46.34,3.64,12.7,0,0,0,0
17:51:53,46.37,3.64,12.7,0,0,0,0
17:51:54,46.36,3.64,12.8,0,0,0,0
17:51:55,46.33,3.63,12.8,0,0,0,0
17:51:56,46.33,3.63,12.9,0,0,0,0
17:51:57,46.33,3.62,13,0,0,0,0
17:51:58,46.35,3.62,13,0,0,0,0
17:51:59,46.35,3.61,13.1,0,0,0,0
17:52:00,46.35,3.61,13.1,0,0,0,0
17:52:01,46.34,3.6,13.2,0,0,0,0
17:52:02,46.32,3.6,13.3,0,0,0,0
17:52:03,46.3,3.57,13.3,0,0,0,0
17:52:04,46.29,3.56,13.4,0,0,0,0
17:52:05,46.28,3.56,13.4,0,0,0,0
17:52:06,46.3,3.58,13.5,0,0,0,0
17:52:07,46.3,3.61,13.6,0,0,0,0
17:52:08,46.29,3.62,13.6,0,0,0,0
17:52:09,46.26,3.63,13.7,0,0,0,0
17:52:10,46.24,3.63,13.7,0,0,0,0
17:52:11,46.24,3.63,13.8,0,0,0,0
17:52:12,46.27,3.62,13.9,0,0,0,0
17:52:13,46.28,3.61,13.9,0,0,0,0
17:52:14,46.26,3.57,14,0,0,0,0
17:52:15,46.22,3.52,14,0,0,0,0
17:52:16,46.2,3.49,14.1,0,0,0,0
17:52:17,46.21,3.48,14.2,0,0,0,0
17:52:18,46.23,3.47,14.2,0,0,0,0
17:52:19,46.22,3.47,14.3,0,0,0,0
17:52:20,46.2,3.46,14.3,0,0,0,0
17:52:21,46.16,3.46,14.4,0,0,0,0
17:52:22,46.15,3.48,14.4,0,0,0,0
17:52:23,46.17,3.49,14.5,0,0,0,0
17:52:24,46.18,3.51,14.6,0,0,0,0
17:52:25,46.19,3.54,14.6,0,0,0,0
17:52:26,46.17,3.57,14.7,0,0,0,0
17:52:27,46.17,3.6,14.7,0,0,0,0
17:52:28,46.17,3.63,14.8,0,0,0,0
17:52:29,46.16,3.67,14.9,0,0,0,0
17:52:30,46.16,3.66,14.9,0,0,0,0
17:52:31,46.13,3.62,15,0,0,0,0
17:52:32,46.07,3.57,15,0,0,0,0
17:52:33,46.04,3.54,15.1,0,0,0,0
17:52:34,46.04,3.51,15.2,0,0,0,0
17:52:35,46.03,3.47,15.2,0,0,0,0
17:52:36,46.01,3.43,15.3,0,0,0,0
17:52:37,46,3.4,15.3,0,0,0,0
17:52:38,45.97,3.4,15.4,0,0,0,0
17:52:39,45.96,3.41,15.4,0,0,0,0
17:52:40,45.95,3.43,15.5,0,0,0,0
17:52:41,45.94,3.44,15.6,0,0,0,0
17:52:42,45.94,3.47,15.6,0,0,0,0
17:52:43,45.94,3.51,15.7,0,0,0,0
17:52:44,45.95,3.55,15.7,0,0,0,0
17:52:45,45.96,3.57,15.8,0,0,0,0
17:52:46,45.95,3.59,15.8,0,0,0,0
17:52:47,45.94,3.61,15.9,0,0,0,0
17:52:48,45.95,3.62,16,0,0,0,0
17:52:49,45.96,3.65,16,0,0,0,0
17:52:50,46,3.67,16.1,0,0,0,0
17:52:51,46.01,3.67,16.2,0,0,0,0
17:52:52,46.01,3.62,16.2,0,0,0,0
17:52:53,46,3.57,16.3,0,0,0,0
17:52:54,46,3.52,16.3,0,0,0,0
17:52:55,46.02,3.47,16.4,0,0,0,0
17:52:56,46.02,3.43,16.4,0,0,0,0
17:52:57,46.03,3.42,16.5,0,0,0,0
17:52:58,46.02,3.41,16.6,0,0,0,0
17:52:59,46.01,3.4,16.6,0,0,0,0
17:53:00,46,3.41,16.7,0,0,0,0
17:53:01,46,3.42,16.7,0,0,0,0
17:53:02,46.01,3.45,16.8,0,0,0,0
17:53:03,46.02,3.47,16.8,0,0,0,0
17:53:04,46.03,3.48,16.9,0,0,0,0
17:53:05,46.05,3.49,17,0,0,0,0
17:53:06,46.05,3.49,17,0,0,0,0
17:53:07,46.05,3.46,17.1,0,0,0,0
17:53:08,46.04,3.42,17.1,0,0,0,0
17:53:09,46.05,3.38,17.2,0,0,0,0
17:53:10,46.07,3.33,17.2,0,0,0,0
17:53:11,46.05,3.31,17.3,0,0,0,0
17:53:12,46.03,3.3,17.4,0,0,0,0
17:53:13,46.02,3.29,17.4,0,0,0,0
17:53:14,46.03,3.3,17.5,0,0,0,0
17:53:15,46.05,3.33,17.5,0,0,0,0
17:53:16,46.07,3.4,17.6,0,0,0,0
17:53:17,46.04,3.5,17.6,0,0,0,0
17:53:18,46.03,3.58,17.7,0,0,0,0
17:53:19,46.02,3.61,17.8,0,0,0,0
17:53:20,46.04,3.63,17.8,0,0,0,0
17:53:21,46.08,3.66,17.9,0,0,0,0
17:53:22,46.09,3.66,17.9,0,0,0,0
17:53:23,46.08,3.64,18,0,0,0,0
17:53:24,46.05,3.6,18.1,0,0,0,0
17:53:25,46.04,3.54,18.1,0,0,0,0
17:53:26,46.06,3.48,18.2,0,0,0,0
17:53:27,46.07,3.43,18.2,0,0,0,0
17:53:28,46.08,3.39,18.3,0,0,0,0
17:53:29,46.05,3.36,18.3,0,0,0,0
17:53:30,46.05,3.35,18.4,0,0,0,0
17:53:31,46.06,3.37,18.5,0,0,0,0
17:53:32,46.09,3.42,18.5,0,0,0,0
17:53:33,46.1,3.47,18.6,0,0,0,0
17:53:34,46.09,3.53,18.6,0,0,0,0
17:53:35,46.08,3.57,18.7,0,0,0,0
17:53:36,46.08,3.61,18.8,0,0,0,0
17:53:37,46.11,3.63,18.8,0,0,0,0
17:53:38,46.13,3.64,18.9,0,0,0,0
17:53:39,46.13,3.67,18.9,0,0,0,0
17:53:40,46.12,3.68,19,0,0,0,0
17:53:41,46.12,3.71,19.1,0,0,0,0
17:53:42,46.14,3.75,19.1,0,0,0,0
17:53:43,46.16,3.76,19.2,0,0,0,0
17:53:44,46.17,3.76,19.2,0,0,0,0
17:53:45,46.17,3.75,19.3,0,0,0,0
17:53:46,46.17,3.73,19.4,0,0,0,0
17:53:47,46.17,3.72,19.4,0,0,0,0
17:53:48,46.17,3.7,19.5,0,0,0,0
17:53:49,46.17,3.7,19.6,0,0,0,0
17:53:50,46.16,3.69,19.6,0,0,0,0
17:53:51,46.17,3.68,19.7,0,0,0,0
17:53:52,46.16,3.67,19.7,0,0,0,0
17:53:53,46.17,3.66,19.8,0,0,0,0
17:53:54,46.2,3.64,19.9,0,0,0,0
17:53:55,46.19,3.64,19.9,0,0,0,0
17:53:56,46.17,3.64,20,0,0,0,0
17:53:57,46.16,3.63,20,0,0,0,0
17:53:58,46.18,3.63,20.1,0,0,0,0
17:53:59,46.21,3.63,20.2,0,0,0,0
17:54:00,46.22,3.62,20.2,0,0,0,0
17:54:01,46.22,3.58,20.3,0,0,0,0
17:54:02,46.21,3.52,20.3,0,0,0,0
17:54:03,46.19,3.48,20.4,0,0,0,0
17:54:04,46.2,3.47,20.5,0,0,0,0
17:54:05,46.19,3.45,20.5,0,0,0,0
17:54:06,46.19,3.44,20.6,0,0,0,0
17:54:07,46.18,3.42,20.6,0,0,0,0
17:54:08,46.16,3.4,20.7,0,0,0,0
17:54:09,46.15,3.41,20.7,0,0,0,0
17:54:10,46.16,3.44,20.8,0,0,0,0
17:54:11,46.16,3.48,20.9,0,0,0,0
17:54:12,46.14,3.51,20.9,0,0,0,0
17:54:13,46.14,3.53,21,0,0,0,0
17:54:14,46.13,3.55,21,0,0,0,0
17:54:15,46.13,3.56,21.1,0,0,0,0
17:54:16,46.13,3.58,21.2,0,0,0,0
17:54:17,46.14,3.61,21.2,0,0,0,0
17:54:18,46.15,3.64,21.3,0,0,0,0
17:54:19,46.15,3.65,21.3,0,0,0,0
17:54:20,46.14,3.63,21.4,0,0,0,0
17:54:21,46.14,3.6,21.5,0,0,0,0
17:54:22,46.14,3.56,21.5,0,0,0,0
17:54:23,46.15,3.51,21.6,0,0,0,0
17:54:24,46.15,3.48,21.6,0,0,0,0
17:54:25,46.16,3.45,21.7,0,0,0,0
17:54:26,46.15,3.38,21.7,0,0,0,0
17:54:27,46.17,3.33,21.8,0,0,0,0
