时间,油  压,排  量,总 液 量,砂 浓 度,总 砂 量,液  添,液添总量
HH:mm:ss,MPa,m3/min,m3,kg/m3,m3,L/min,L
00:38:40,0,0.01,0,0,0,0.1,0
00:38:41,0,0.01,0,0,0,0.1,0
00:38:42,0,0.01,0,0,0,0.1,0
00:38:43,0,0.01,0,0,0,0.1,0
00:38:44,0,0.01,0,0,0,0.1,0
00:38:45,0,0.01,0,0,0,0.1,0
00:38:46,0,0.01,0,0,0,0.1,0
00:38:47,0,0.01,0,0,0,0.1,0
00:38:48,0,0.01,0,0,0,0.1,0
00:38:49,0,0.01,0,0,0,0.1,0
00:38:50,0,0.01,0,0,0,0.1,0
00:38:51,0,0.01,0,0,0,0.1,0
00:38:52,0,0.01,0,0,0,0.1,0
00:38:53,0,0.01,0,0,0,0.1,0
00:38:54,0,0.01,0,0,0,0.1,0
00:38:55,0.51,0.01,0,0,0,0.1,0
00:38:56,2.04,0.01,0,0,0,0.1,0
00:38:57,4.53,0.01,0,0,0,0.1,0
00:38:58,7.87,0.01,0,0,0,0.1,0
00:38:59,11.94,0.01,0,0,0,0.1,0
00:39:00,16.33,0.01,0,0,0,0.1,0
00:39:01,20.63,0.01,0,0,0,0.1,0
00:39:02,24.57,0.01,0,0,0,0.1,0
00:39:03,28.01,0.01,0,0,0,0.1,0
00:39:04,30.88,0.01,0,0,0,0.1,0
00:39:05,32.53,0.01,0,0,0,0.1,0
00:39:06,33.35,0.01,0,0,0,0.1,0
00:39:07,33.74,0.01,0,0,0,0.1,0
00:39:08,33.94,0.01,0,0,0,0.1,0
00:39:09,34.02,0.01,0,0,0,0.1,0
00:39:10,34.07,0.01,0,0,0,0.1,0
00:39:11,34.09,0.01,0,0,0,0.1,0
00:39:12,34.08,0.01,0,0,0,0.1,0
00:39:13,34.06,0.01,0,0,0,0.1,0
00:39:14,34.05,0.01,0,0,0,0.1,0.1
00:39:15,34.05,0.01,0,0,0,0.1,0.1
00:39:16,34.04,0.01,0,0,0,0.1,0.1
00:39:17,34.03,0.01,0,0,0,0.1,0.1
00:39:18,34.02,0.01,0,0,0,0.1,0.1
00:39:19,34.02,0.01,0,0,0,0.1,0.1
00:39:20,34.01,0.01,0,0,0,0.1,0.1
00:39:21,34,0.01,0,0,0,0.1,0.1
00:39:22,33.99,0.01,0,0,0,0.1,0.1
00:39:23,33.99,0.01,0,0,0,0.1,0.1
00:39:24,33.99,0.01,0,0,0,0.1,0.1
00:39:25,33.99,0.01,0,0,0,0.1,0.1
00:39:26,33.97,0.01,0,0,0,0.1,0.1
00:39:27,33.97,0.01,0,0,0,0.1,0.1
00:39:28,33.96,0.01,0,0,0,0.1,0.1
00:39:29,33.96,0.01,0,0,0,0.1,0.1
00:39:30,33.95,0.01,0,0,0,0.1,0.1
00:39:31,33.92,0.01,0,0,0,0.1,0.1
00:39:32,33.91,0.01,0,0,0,0.1,0.1
00:39:33,33.9,0.01,0,0,0,0.1,0.1
00:39:34,33.89,0.01,0,0,0,0.1,0.1
00:39:35,33.88,0.01,0,0,0,0.1,0.1
00:39:36,33.87,0.01,0,0,0,0.1,0.1
00:39:37,33.87,0.01,0,0,0,0.1,0.1
00:39:38,33.87,0.01,0,0,0,0.1,0.1
00:39:39,33.86,0.01,0,0,0,0.1,0.1
00:39:40,33.85,0.01,0,0,0,0.1,0.1
00:39:41,33.84,0.01,0,0,0,0.1,0.1
00:39:42,33.84,0.01,0,0,0,0.1,0.1
00:39:43,33.84,0.01,0,0,0,0.1,0.1
00:39:44,33.84,0.01,0,0,0,0.1,0.1
00:39:45,33.83,0.01,0,0,0,0.1,0.1
00:39:46,33.82,0.01,0,0,0,0.1,0.1
00:39:47,33.81,0.01,0,0,0,0.1,0.1
00:39:48,33.81,0.01,0,0,0,0.1,0.1
00:39:49,33.81,0.01,0,0,0,0.1,0.1
00:39:50,33.81,0.01,0,0,0,0.1,0.1
00:39:51,33.79,0.01,0,0,0,0.1,0.1
00:39:52,33.77,0.01,0,0,0,0.1,0.1
00:39:53,33.76,0.01,0,0,0,0.1,0.1
00:39:54,33.75,0.01,0,0,0,0.1,0.1
00:39:55,33.75,0.01,0,0,0,0.1,0.1
00:39:56,33.75,0.01,0,0,0,0.1,0.1
00:39:57,33.75,0.01,0,0,0,0.1,0.1
00:39:58,33.74,0.01,0,0,0,0.1,0.1
00:39:59,33.73,0.01,0,0,0,0.1,0.1
00:40:00,33.73,0.01,0,0,0,0.1,0.1
00:40:01,33.72,0.01,0,0,0,0.1,0.1
00:40:02,33.72,0.01,0,0,0,0.1,0.1
00:40:03,33.72,0.01,0,0,0,0.1,0.1
00:40:04,33.72,0.01,0,0,0,0.1,0.1
00:40:05,33.72,0.01,0,0,0,0.1,0.1
00:40:06,33.72,0.01,0,0,0,0.1,0.1
00:40:07,33.71,0.01,0,0,0,0.1,0.1
00:40:08,33.7,0.01,0,0,0,0.1,0.1
00:40:09,33.69,0.01,0,0,0,0.1,0.1
00:40:10,33.69,0.01,0,0,0,0.1,0.1
00:40:11,33.69,0.01,0,0,0,0.1,0.1
00:40:12,33.69,0.01,0,0,0,0.1,0.1
00:40:13,33.68,0.01,0,0,0,0.1,0.1
00:40:14,33.67,0.01,0,0,0,0.1,0.1
00:40:15,33.66,0.01,0,0,0,0.1,0.1
00:40:16,33.66,0.01,0,0,0,0.1,0.1
00:40:17,33.66,0.01,0,0,0,0.1,0.1
00:40:18,33.66,0.01,0,0,0,0.1,0.1
00:40:19,33.66,0.01,0,0,0,0.1,0.1
00:40:20,33.65,0.01,0,0,0,0.1,0.1
00:40:21,33.63,0.01,0,0,0,0.1,0.1
00:40:22,33.62,0.01,0,0,0,0.1,0.2
00:40:23,33.61,0.01,0,0,0,0.1,0.2
00:40:24,33.6,0.01,0,0,0,0.1,0.2
00:40:25,33.6,0.01,0,0,0,0.1,0.2
00:40:26,33.6,0.01,0,0,0,0.1,0.2
00:40:27,33.6,0.01,0,0,0,0.1,0.2
00:40:28,33.6,0.01,0,0,0,0.1,0.2
00:40:29,33.59,0.01,0,0,0,0.1,0.2
00:40:30,33.58,0.01,0,0,0,0.1,0.2
00:40:31,33.58,0.01,0,0,0,0.1,0.2
00:40:32,33.57,0.01,0,0,0,0.1,0.2
00:40:33,33.54,0.01,0,0,0,0.1,0.2
00:40:34,32.64,0.01,0,0,0,0.1,0.2
00:40:35,31.39,0.01,0,0,0,0.1,0.2
00:40:36,30.76,0.01,0,0,0,0.1,0.2
00:40:37,30.44,0.01,0,0,0,0.1,0.2
